이름,무선국 개수
불영계곡,124
신불산,87
화왕산,73
비슬산,48
황매산,48
천마산,47
운문산,47
장안산,44
명지산,39
강천산,38
덕구온천,34
보경사,30
대이리,25
구천계곡,24
기백산,23
웅석봉,23
아미산,22
월성계곡,21
입곡,20
고소성,13
봉명산,12
방어산,12
상족암,10
호구산,10
빙계,7
거열산성,6
병방산,6
