이름,무선국 개수
북한산,1224
다도해해상,1176
한려해상,742
지리산,656
속리산,547
한라산,518
설악산,470
오대산,434
덕유산,404
무등산,403
월악산,336
소백산,336
계룡산,276
변산반도,247
치악산,234
경주,227
내장산,204
태안해안,174
태백산,168
주왕산,153
가야산,111
월출산,83
